商品名称,商品编码,规格型号,单价,库存
能洋36V反小头,36V-FX,反小,190,2
能洋45L反大头,45LS-FDT,反大头,200,2
能洋45L反小头,45LS-FXT,反小头,200,2
能洋45R正粗,45R-ZC,正粗,200,2
能洋54466R,54466R,R,260,1
能洋54466L,54466L,L,260,1
能洋58500R,58500R,R,260,2
能洋86550L反,86550L-F,L反,270,2
能洋85750R正粗,85750R-ZC,R正粗,270,2
能洋L2400R,L2400R,R,270,1
能洋L2400L反头,L2400L-F,L反,270,2
能洋75D23L反头,75023L-F,L反,275,2
能洋80D26L反头,80D26L-F,L反,310,1
能洋80D26R正粗,80D26R-ZC,R正粗,310,1
能洋70深头56318L反,70ST56318L-F,深头L反,330,0
能洋深头57069L反,ST57069L-F,深头L反,330,0
能洋95D31R正头,95D31-80R,80R,360,2
能洋95D31L反头,95D31L-F,L反,360,2
能洋N125短头,N125-DT,短头,430,1
能洋N120R,N120R,R,520,2
能洋N165R,N165R,R,590,0
,,,,
银标瓦尔塔65D23L反,65D23L-F,L反,370,2
银标瓦尔塔L2400L反,L2400L-F,L反,370,1
银标瓦尔塔80D26R正,80D26R-Z,R正,460,1
银标瓦尔塔80D26L反,80D26L-F,L反,460,2
银标瓦尔塔45安反大,45A-FD,反大,280,2
银标瓦尔塔45安反小,45A-FX,反小,280,2
银标瓦尔塔45安正粗,45A-ZC,正粗,280,2
,,,,
星标S95L反,S95L-F,L反,0,0
星标60VH5,60VH5,H5,530,1
星标70VH6,70VH6,H6,580,1
,,,,
能洋起停H5.60V,H5-60V,60V,420,2
能洋起停H6.70V,H6-70V,70V,480,2
能洋起停Q85.60V,Q85-60V,60V,430,2
能洋起停S95.70V,S95-70V,70V,480,2
